region_code,has_care_worker,has_village_guardian,last_patrol_date
4713065000,1,1,2026-08-21
4713066000,1,0,2026-08-16
4715000000,1,1,2026-08-17
4715025000,1,0,2026-08-13
4715031000,1,1,2026-08-13
4715032000,0,1,2026-08-16
4715034000,0,1,2026-08-14
4715035000,0,1,2026-08-22
4715036000,1,1,2026-08-17
4715037000,1,1,2026-08-20
4715038000,1,1,2026-08-20
4715039000,1,1,2026-08-21
4715040000,1,1,2026-08-13
4715041000,0,1,2026-08-14
4715042000,0,1,2026-08-15
4715043000,1,1,2026-08-21
4715044000,1,1,2026-08-21
4715045000,0,1,2026-08-19
4715051500,0,0,
4715051600,1,1,2026-08-21
4715053500,0,1,2026-08-17
4715053600,0,1,2026-08-22
4715054000,1,0,2026-08-17
4715056500,1,1,2026-08-16
4715057500,1,1,2026-08-19
4715059500,0,1,2026-08-19
4715061000,1,0,2026-08-15
4715064000,1,0,2026-08-19
4717000000,1,1,2026-08-15
4717025000,0,1,2026-08-21
4717031000,0,1,2026-08-19
4717032000,0,1,2026-08-20
4717033000,1,1,2026-08-14
4717034000,1,1,2026-08-22
4717034500,1,1,2026-08-13
4717035000,1,1,2026-08-18
4717036000,0,1,2026-08-15
4717037000,1,1,2026-08-13
4717038000,1,1,2026-08-13
4717039000,0,1,2026-08-16
4717040000,1,1,2026-08-17
4717041000,1,1,2026-08-20
4717041500,1,1,2026-08-15
4717042000,1,1,2026-08-13
4717042500,1,1,2026-08-19
4717043000,0,1,2026-08-18
4717051000,0,1,2026-08-22
4717052000,0,1,2026-08-20
4717055500,1,1,2026-08-15
4717058500,0,0,
4717060000,1,1,2026-08-22
4717061000,1,1,2026-08-17
4717062000,1,1,2026-08-18
4717063000,1,0,2026-08-15
4717065000,1,0,2026-08-22
4717066000,1,1,2026-08-22
4717069000,1,0,2026-08-13
4719000000,1,1,2026-08-14
4719025000,1,0,2026-08-22
4719025300,0,0,
4719025600,1,0,2026-08-17
4719031000,0,1,2026-08-21
4719032000,0,1,2026-08-21
4719033000,1,1,2026-08-21
4719034000,1,1,2026-08-22
4719035000,1,1,2026-08-15
4719036000,1,1,2026-08-14
4719051000,1,1,2026-08-18
4719052000,0,1,2026-08-22
4719053000,0,1,2026-08-22
4719053500,0,0,
4719055100,1,1,2026-08-22
4719055500,1,0,2026-08-21
4719056500,1,1,2026-08-16
4719058200,1,1,2026-08-17
4719058300,1,0,2026-08-16
4719059000,0,0,
4719060000,1,1,2026-08-19
4719061000,1,0,2026-08-19
4719062100,0,0,
4719062200,1,1,2026-08-22
4719063000,1,1,2026-08-18
4719064500,1,0,2026-08-20
4719066000,1,0,2026-08-16
4719067000,0,1,2026-08-14
4719068000,0,0,
4719069000,1,1,2026-08-14
4719070000,1,0,2026-08-16
4721000000,1,1,2026-08-22
4721025000,1,1,2026-08-21
4721031000,0,1,2026-08-15
4721032000,1,1,2026-08-19
4721033000,0,1,2026-08-13
4721034000,0,1,2026-08-20
4721035000,1,1,2026-08-18
4721036000,1,1,2026-08-22
4721037000,0,1,2026-08-20
4721038000,1,1,2026-08-19
4721039000,0,1,2026-08-20
4721051000,1,1,2026-08-20
4721052500,1,0,2026-08-20
4721055000,0,0,
4721056000,1,0,2026-08-18
4721059000,1,1,2026-08-19
4721060000,0,0,
4721061000,0,0,
4721062000,0,1,2026-08-17
4721063000,0,0,
4723000000,1,1,2026-08-17
4723025000,0,0,
4723031000,1,1,2026-08-20
4723032000,0,1,2026-08-16
4723033000,1,1,2026-08-20
4723034000,1,1,2026-08-17
4723035000,1,1,2026-08-21
4723036000,1,1,2026-08-19
4723037000,0,1,2026-08-22
4723038000,0,1,2026-08-21
4723039000,0,1,2026-08-17
4723040000,0,1,2026-08-16
4723051000,1,1,2026-08-20
4723052000,0,0,
4723053500,1,1,2026-08-15
4723054000,1,1,2026-08-13
4723055500,1,1,2026-08-16
4725000000,1,1,2026-08-14
4725025000,1,0,2026-08-15
4725031000,1,1,2026-08-21
4725032000,1,1,2026-08-17
4725032500,1,1,2026-08-20
4725033000,1,1,2026-08-15
4725033500,0,0,
4725034000,1,1,2026-08-19
4725035000,0,1,2026-08-20
4725036000,1,1,2026-08-16
4725037000,0,1,2026-08-18
4725038000,1,1,2026-08-16
4725039000,1,1,2026-08-22
4725039500,1,0,2026-08-18
4725040000,0,1,2026-08-16
4725041000,1,1,2026-08-13
4725042000,0,1,2026-08-16
4725042600,0,0,
4725043000,0,1,2026-08-14
4725044000,1,1,2026-08-19
4725044500,1,1,2026-08-21
4725045000,1,1,2026-08-15
4725046000,1,1,2026-08-21
4725047000,0,1,2026-08-13
4725052000,1,0,2026-08-22
4725053000,1,0,2026-08-19
4725054000,1,1,2026-08-15
4725055000,0,1,2026-08-14
4725056000,1,1,2026-08-14
4725057000,0,0,
4728000000,1,1,2026-08-22
4728025000,0,1,2026-08-19
4728025100,0,1,2026-08-13
4728025300,1,0,2026-08-14
4728025400,1,1,2026-08-17
4728029000,1,1,2026-08-22
4728029100,1,1,2026-08-20
4728031000,1,1,2026-08-16
4728032000,1,1,2026-08-19
4728033000,0,1,2026-08-19
4728034000,0,1,2026-08-20
4728035000,1,1,2026-08-13
4728036000,1,1,2026-08-22
4728037000,1,1,2026-08-16
4728051500,0,1,2026-08-16
4728052000,0,1,2026-08-14
4728053000,0,0,
4728054500,1,0,2026-08-21
4728056000,0,1,2026-08-21
4728057000,1,0,2026-08-22
4728058000,0,1,2026-08-15
4728059000,0,1,2026-08-19
4728060000,0,1,2026-08-14
4728061000,1,1,2026-08-20
4729000000,1,1,2026-08-19
4729025000,1,0,2026-08-22
4729025300,0,1,2026-08-18
4729025600,1,1,2026-08-17
4729031000,1,1,2026-08-13
4729033000,0,1,2026-08-22
4729034000,1,1,2026-08-13
4729035000,1,1,2026-08-19
4729036000,0,1,2026-08-15
4729037000,1,1,2026-08-16
4729051000,1,0,2026-08-22
4729052000,1,1,2026-08-20
4729053000,1,0,2026-08-17
4729054000,1,0,2026-08-20
4729054100,0,0,
4729054200,0,1,2026-08-14
4729055000,1,0,2026-08-19
4729056000,1,1,2026-08-16
4772000000,1,1,2026-08-21
4772025000,0,1,2026-08-21
4772031000,0,1,2026-08-14
4772032000,0,1,2026-08-22
4772033000,0,1,2026-08-14
4772034000,1,1,2026-08-13
4772035000,1,1,2026-08-14
4772036000,1,1,2026-08-19
4772037000,1,1,2026-08-18
4772038000,0,1,2026-08-16
4773000000,1,1,2026-08-13
4773025000,1,0,2026-08-16
4773031000,1,1,2026-08-14
4773032000,1,1,2026-08-14
4773033000,0,1,2026-08-13
4773034000,1,1,2026-08-13
4773035000,1,1,2026-08-13
4773036000,1,1,2026-08-15
4773037000,1,1,2026-08-13
4773038000,1,1,2026-08-14
4773039000,0,1,2026-08-14
4773040000,1,1,2026-08-22
4773041000,1,1,2026-08-22
4773042000,0,1,2026-08-22
4773043000,0,1,2026-08-19
4773044000,1,1,2026-08-16
4773045000,1,1,2026-08-20
4773046000,1,1,2026-08-17
4773047000,1,1,2026-08-16
4775000000,1,1,2026-08-15
4775025000,1,0,2026-08-21
4775031000,0,1,2026-08-15
4775031500,0,1,2026-08-18
4775032000,0,1,2026-08-21
4775033000,1,1,2026-08-21
4775034000,1,1,2026-08-20
4775035000,1,1,2026-08-14
4775036000,1,1,2026-08-21
4775037000,1,1,2026-08-17
4776000000,1,1,2026-08-22
4776025000,1,0,2026-08-22
4776031000,1,1,2026-08-16
4776032000,0,1,2026-08-17
4776032500,0,0,
4776032600,1,1,2026-08-14
4776033000,1,1,2026-08-19
4776034000,1,1,2026-08-15
4776035000,1,1,2026-08-21
4777000000,1,1,2026-08-17
4777025000,1,1,2026-08-21
4777031000,0,1,2026-08-15
4777032000,0,1,2026-08-17
4777033000,0,1,2026-08-18
4777034000,1,1,2026-08-15
4777034500,1,0,2026-08-14
4777035000,1,1,2026-08-22
4777035500,0,1,2026-08-14
4777036000,0,1,2026-08-20
4777037000,1,1,2026-08-14
4777038000,0,1,2026-08-21
4782000000,1,1,2026-08-17
4782012000,0,0,
4782025000,0,1,2026-08-18
4782025100,0,0,
4782025300,1,1,2026-08-22
4782025400,1,0,2026-08-18
4782029000,1,1,2026-08-20
4782029100,1,1,2026-08-16
4782031000,1,1,2026-08-19
4782032000,1,1,2026-08-22
4782033000,0,1,2026-08-21
4782034000,1,1,2026-08-15
4782035000,0,1,2026-08-13
4782036000,0,1,2026-08-13
4782037000,1,1,2026-08-20
4783000000,1,1,2026-08-17
4783025000,1,0,2026-08-14
4783025300,1,1,2026-08-18
4783031000,1,1,2026-08-22
4783032000,0,1,2026-08-21
4783033000,1,1,2026-08-17
4783034000,1,1,2026-08-20
4783035000,0,1,2026-08-16
4783036000,1,1,2026-08-17
4783037000,0,1,2026-08-18
4784000000,1,1,2026-08-15
4784025000,0,1,2026-08-13
4784031000,1,1,2026-08-21
4784032000,1,1,2026-08-22
4784033000,0,1,2026-08-20
4784034000,1,1,2026-08-22
4784035000,0,1,2026-08-15
4784035500,1,1,2026-08-18
4784036000,1,1,2026-08-16
4784037000,1,1,2026-08-21
4784038000,0,1,2026-08-19
4784039000,1,1,2026-08-14
4785000000,1,1,2026-08-20
4785025000,0,1,2026-08-20
4785025300,1,0,2026-08-19
4785025600,1,0,2026-08-13
4785031000,1,1,2026-08-16
4785032000,1,1,2026-08-17
4785033000,0,1,2026-08-18
4785034000,1,1,2026-08-15
4785035000,1,1,2026-08-16
4785036000,1,1,2026-08-14
4785037000,1,1,2026-08-16
4790000000,1,1,2026-08-15
4790025000,0,1,2026-08-21
4790025300,0,0,
4790031000,0,1,2026-08-18
4790032000,0,1,2026-08-16
4790033000,1,1,2026-08-15
4790034000,1,1,2026-08-15
4790035000,1,1,2026-08-16
4790036000,1,1,2026-08-14
4790037000,1,1,2026-08-21
4790038000,1,1,2026-08-21
4790039000,1,1,2026-08-17
4790040000,0,1,2026-08-18
4790041000,0,1,2026-08-22
4790042000,0,1,2026-08-16
4790043000,1,1,2026-08-22
4792000000,1,1,2026-08-20
4792025000,1,1,2026-08-13
4792031000,0,1,2026-08-22
4792032000,0,1,2026-08-14
4792033000,1,1,2026-08-14
4792034000,0,1,2026-08-22
4792035000,1,1,2026-08-19
4792036000,0,1,2026-08-17
4792037000,1,1,2026-08-14
4792038000,1,1,2026-08-15
4792039000,1,1,2026-08-15
4793000000,1,1,2026-08-16
4793025000,1,0,2026-08-18
4793025300,1,0,2026-08-19
4793031000,1,1,2026-08-14
4793031500,1,1,2026-08-13
4793032000,1,1,2026-08-16
4793033000,0,1,2026-08-14
4793034000,1,1,2026-08-17
4793035000,0,1,2026-08-14
4793036000,1,1,2026-08-20
4793037000,0,1,2026-08-16
4793038000,1,1,2026-08-16
4793039000,1,1,2026-08-21
4793040000,1,1,2026-08-22
4794000000,1,1,2026-08-17
4794025000,1,0,2026-08-16
4794031000,0,1,2026-08-18
4794031500,0,1,2026-08-14
4794032000,1,1,2026-08-18
